Player,Age,Pos,GP,G,A,S,PS,BLK,-9999
Connor McDavid,27,C,76,32,100,263,14.1,39,mcdavco01
Leon Draisaitl,28,C,81,41,65,217,12.0,26,draisle01
Evan Bouchard,24,D,81,18,64,220,13.1,105,bouchev01
Zach Hyman,31,LW,80,54,23,290,11.1,37,hymanza01
Ryan Nugent-Hopkins,30,C,80,18,49,183,5.7,33,nugenry01
Mattias Ekholm,33,D,79,11,34,177,9.5,93,ekholma01
Evander Kane,32,LW,77,24,20,220,4.1,29,kaneev01
Warren Foegele,27,LW,82,20,21,201,3.9,32,foegewa01
Darnell Nurse,28,D,81,10,22,181,5.3,172,nurseda01
Ryan McLeod,24,C,81,12,18,106,2.3,34,mcleory01
Cody Ceci,30,D,79,5,20,97,4.7,106,cecico01
Brett Kulak,30,D,82,3,13,94,2.6,88,kulakbr01
Corey Perry,38,RW,38,8,5,56,1.1,9,perryco01
Derek Ryan,37,C,70,5,7,52,0.3,28,ryande01
Connor Brown,30,RW,71,4,8,108,-0.4,24,brownco02
Mattias Janmark,31,C,71,4,8,67,0.0,19,janmama02
Vincent Desharnais,27,D,78,1,10,41,2.1,122,deshavi01
Sam Gagner,34,C,28,5,5,48,0.9,17,gagnesa01
Adam Henrique,33,C,22,6,3,29,1.1,21,henriad01
Dylan Holloway,22,C,38,6,3,56,0.6,14,hollody01
Sam Carrick,31,C,16,2,3,15,0.4,8,carrisa01
James Hamblin,24,F,31,2,1,18,0.2,21,hamblja01
Adam Erne,28,LW,24,1,1,13,0.0,5,ernead01
Philip Broberg,22,D,12,0,2,6,0.1,10,brobeph01
Troy Stecher,29,D,7,0,2,6,0.5,10,stechtr01
Jack Campbell,32,G,5,0,0,0,0.4,0,campbja01
Philip Kemp,24,D,1,0,0,0,0.0,0,kempph01
Raphael Lavoie,23,C,7,0,0,4,-0.2,1,lavoira01
Calvin Pickard,31,G,23,0,0,0,3.7,0,pickaca01
Stuart Skinner,25,G,59,0,0,0,9.2,0,skinnst01
Adrian Kempe,27,LW,77,28,47,246,8.3,32,kempead01
Kevin Fiala,27,LW,82,29,44,225,7.7,28,fialake01
Anže Kopitar,36,C,81,26,44,133,7.3,65,kopitan01
Trevor Moore,28,LW,82,31,26,244,6.7,58,mooretr01
Quinton Byfield,21,C,80,20,35,161,6.0,19,byfiequ01
Drew Doughty,34,D,82,15,35,135,9.8,142,doughdr01
Phillip Danault,30,C,78,17,30,159,4.5,60,danauph01
Pierre-Luc Dubois,25,LW,82,16,24,146,3.2,37,duboipi01
Matt Roy,28,D,81,5,20,135,6.4,197,royma04
Jordan Spence,22,D,71,2,22,80,4.1,55,spencjo01
Alex Laferriere,22,RW,81,12,11,147,1.3,27,laferal01
Vladislav Gavrikov,28,D,77,6,17,114,5.3,114,gavrivl01
Michael Anderson,24,D,74,2,16,89,5.3,129,andermi02
Trevor Lewis,37,C,82,8,8,130,1.2,62,lewistr01
Arthur Kaliyev,22,RW,51,7,8,101,1.1,14,kaliyar01
Blake Lizotte,26,C,62,7,8,76,1.4,28,lizotbl01
Viktor Arvidsson,30,LW,18,6,9,59,1.7,18,arvidvi01
Carl Grundström,26,RW,50,8,4,95,1.0,16,grundca01
Andreas Englund,28,D,82,1,9,41,2.1,87,engluan01
Brandt Clarke,20,D,16,2,4,31,0.6,21,clarkbr02
Akil Thomas,24,C,7,3,1,9,0.6,3,thomaak01
Jaret Anderson-Dolan,24,C,30,1,3,29,-0.1,21,anderja01
Alex Turcotte,22,C,20,1,3,14,0.4,10,turcoal02
Cam Talbot,36,G,54,0,3,0,10.0,0,talboca01
Jacob Moverare,25,D,24,1,0,11,0.5,23,moverja01
Tobias Björnfot,22,D,1,0,0,0,0.0,1,bjornto01
Pheonix Copley,32,G,8,0,0,0,0.4,0,copleph01
Samuel Fagemo,23,LW,4,0,0,6,-0.1,0,fagemsa01
David Rittich,31,G,24,0,0,0,4.7,0,rittida01
Jonathan Marchessault,33,C,82,42,27,266,8.1,23,audymjo01
Jack Eichel,27,C,63,31,37,278,7.5,61,eicheja01
William Karlsson,31,C,70,30,30,175,7.1,46,karlswi01
Mark Stone,31,RW,56,16,37,117,4.8,40,stonema01
Chandler Stephenson,29,C,75,16,35,97,3.8,40,stephch02
Ivan Barbashev,28,C,82,19,26,122,4.5,44,barbaiv01
Shea Theodore,28,D,47,5,37,105,5.7,78,theodsh01
Nicolas Roy,26,C,70,13,28,112,3.7,35,royni01
Alex Pietrangelo,34,D,64,4,29,141,4.5,160,pietral01
Michael Amadio,27,C,73,14,13,117,2.5,34,amadimi01
Brayden McNabb,33,D,82,4,22,86,5.5,207,mcnabbr01
Paul Cotter,24,C,76,7,18,100,1.1,29,cottepa01
Pavel Dorofeyev,23,LW,47,13,11,97,2.8,23,dorofpa01
Brett Howden,25,C,72,8,11,76,0.6,51,howdebr01
Keegan Kolesar,26,RW,79,8,10,73,0.8,41,koleske01
Alec Martinez,36,D,55,4,13,72,2.8,165,martial01
Zach Whitecloud,27,D,61,2,12,51,2.2,105,whiteza01
Nicolas Hague,25,D,73,2,10,105,2.1,111,hagueni01
Noah Hanifin,27,D,19,2,10,41,2.1,32,hanifno01
Anthony Mantha,29,RW,18,3,7,23,1.0,10,manthan01
Ben Hutton,30,D,41,2,8,67,2.6,54,huttobe01
Kaedan Korczak,23,D,26,1,8,32,2.2,31,korczka01
William Carrier,29,LW,39,6,2,65,0.7,16,carriwi01
Brendan Brisson,22,C,15,2,6,20,0.5,4,brissbr01
Mason Morelli,27,F,9,3,1,9,0.4,6,morelma01
Tomáš Hertl,30,C,6,2,2,11,0.3,3,hertlto01
Sheldon Rempal,28,RW,9,2,1,16,0.3,3,rempash01
Jonas Røndbjerg,24,RW,20,1,2,25,0.1,10,rondbjo01
Logan Thompson,26,G,46,0,3,0,8.1,0,thomplo01
Brayden Pachal,24,D,17,1,0,18,0.3,23,pachabr01
Lukas Cormier,21,D,2,0,1,3,0.2,2,cormilu01
